order_id,customer_id,order_ts,country,currency,payment_method,shipping_amount,discount_amount,order_status,source_file_date
O20260211-000001,C027589,2026-02-07T03:47:04,DE,EUR,gift_card,7.99,5.00,cancelled,2026-02-11
O20260211-000002,C007147,2026-02-08T16:14:39,FR,EUR,card,4.99,10.00,placed,2026-02-11
O20260211-000003,C031391,2026-02-08T13:43:06,US,USD,gift_card,7.99,0.00,placed,2026-02-11
O20260211-000004,C039866,2026-02-10T02:08:17,SE,SEK,klarna,7.99,15.00,cancelled,2026-02-11
O20260211-000005,C029735,2026-02-07T19:27:06,SE,SEK,card,2.99,10.00,delivered,2026-02-11
O20260211-000006,C027120,2026-02-09T14:25:26,DE,EUR,card,4.99,10.00,shipped,2026-02-11
O20260211-000007,C016705,2026-02-09T04:43:59,GB,GBP,gift_card,0.00,0.00,placed,2026-02-11
O20260211-000008,C028304,2026-02-11T23:47:23,US,USD,paypal,0.00,15.00,cancelled,2026-02-11
O20260211-000009,C021604,2026-02-06T03:26:22,FR,EUR,gift_card,0.00,5.00,cancelled,2026-02-11
O20260211-000010,C023046,2026-02-11T18:32:13,SE,SEK,paypal,7.99,0.00,placed,2026-02-11
O20260211-000011,C036456,2026-02-09T03:48:17,SE,SEK,paypal,7.99,15.00,cancelled,2026-02-11
O20260211-000012,C036487,2026-02-11T19:59:42,FR,EUR,klarna,0.00,0.00,shipped,2026-02-11
O20260211-000013,C020250,2026-02-09T11:00:11,GB,GBP,paypal,7.99,0.00,paid,2026-02-11
O20260211-000014,C002010,2026-02-11T23:33:13,GB,GBP,gift_card,7.99,10.00,shipped,2026-02-11
O20260211-000015,C024252,2026-02-09T23:20:49,DE,EUR,card,0.00,0.00,paid,2026-02-11
O20260211-000016,C003262,2026-02-06T02:17:28,FR,EUR,gift_card,7.99,15.00,delivered,2026-02-11
O20260211-000017,C017903,2026-02-10T16:07:22,NL,EUR,gift_card,0.00,5.00,cancelled,2026-02-11
O20260211-000018,C034534,2026-02-06T09:02:14,NL,EUR,gift_card,0.00,0.00,paid,2026-02-11
O20260211-000019,C013844,2026-02-10T08:18:20,SE,SEK,card,0.00,10.00,delivered,2026-02-11
O20260211-000020,C008467,2026-02-08T17:45:14,DE,EUR,klarna,0.00,10.00,placed,2026-02-11
O20260211-000021,C001229,2026-02-08T02:55:20,NL,EUR,gift_card,7.99,10.00,shipped,2026-02-11
O20260211-000022,C026545,2026-02-11T10:10:51,US,USD,gift_card,4.99,0.00,delivered,2026-02-11
O20260211-000023,C015946,2026-02-08T18:25:33,US,USD,card,7.99,5.00,shipped,2026-02-11
O20260211-000024,C021828,2026-02-10T02:32:40,DE,EUR,card,2.99,5.00,shipped,2026-02-11
O20260211-000025,C009680,2026-02-10T03:09:16,GB,GBP,paypal,2.99,15.00,paid,2026-02-11
O20260211-000026,C004939,2026-02-10T20:31:29,GB,GBP,gift_card,4.99,5.00,paid,2026-02-11
O20260211-000027,C004476,2026-02-08T14:40:19,NL,EUR,klarna,0.00,5.00,cancelled,2026-02-11
O20260211-000028,C020343,2026-02-08T14:02:03,US,USD,klarna,4.99,0.00,placed,2026-02-11
O20260211-000029,C038934,2026-02-07T12:29:37,FR,EUR,card,7.99,15.00,paid,2026-02-11
O20260211-000030,C039650,2026-02-08T16:09:03,SE,SEK,gift_card,0.00,5.00,placed,2026-02-11
O20260211-000031,C011309,2026-02-11T07:45:28,FR,EUR,gift_card,2.99,5.00,shipped,2026-02-11
