refund_id,order_line_id,order_id,refund_ts,refund_amount,refund_reason,refund_status
R20260215-0000243,L20260215-0002121,O20260215-000815,2026-02-10T18:22:59,120.73,wrong_size,rejected
R20260215-0000244,L20260215-0002148,O20260215-000826,2026-02-06T02:37:22,24.74,late_delivery,rejected
R20260215-0000245,L20260215-0002149,O20260215-000826,2026-02-07T09:11:27,51.64,customer_remorse,approved
R20260215-0000246,L20260215-0002152,O20260215-000827,2026-02-09T03:23:55,58.94,damaged,approved
R20260215-0000247,L20260215-0002153,O20260215-000827,2026-02-06T03:21:19,1.80,other,approved
R20260215-0000248,L20260215-0002160,O20260215-000830,2026-02-06T00:05:00,12.22,other,pending
R20260215-0000249,L20260215-0002161,O20260215-000831,2026-02-11T14:45:38,570.58,damaged,pending
R20260215-0000250,L20260215-0002166,O20260215-000834,2026-02-08T07:33:42,455.38,damaged,pending
R20260215-0000251,L20260215-0002173,O20260215-000838,2026-02-14T01:51:11,110.29,late_delivery,pending
R20260215-0000252,L20260215-0002177,O20260215-000839,2026-02-09T18:36:28,162.55,late_delivery,pending
R20260215-0000253,L20260215-0002189,O20260215-000844,2026-02-10T09:43:39,87.91,damaged,pending
R20260215-0000254,L20260215-0002195,O20260215-000847,2026-02-09T16:21:26,139.99,other,rejected
R20260215-0000255,L20260215-0002200,O20260215-000849,2026-02-07T10:43:38,143.32,customer_remorse,approved
R20260215-0000256,L20260215-0002234,O20260215-000865,2026-02-05T23:15:17,55.63,customer_remorse,pending
R20260215-0000257,L20260215-0002239,O20260215-000868,2026-02-08T15:10:38,46.03,damaged,rejected
R20260215-0000258,L20260215-0002248,O20260215-000872,2026-02-10T08:35:55,128.11,damaged,pending
R20260215-0000259,L20260215-0002262,O20260215-000879,2026-02-15T15:14:29,77.10,late_delivery,approved
R20260215-0000260,L20260215-0002265,O20260215-000881,2026-02-09T06:11:51,1.25,wrong_size,approved
R20260215-0000261,L20260215-0002267,O20260215-000882,2026-02-13T13:23:33,104.89,late_delivery,rejected
R20260215-0000262,L20260215-0002291,O20260215-000893,2026-02-06T09:52:52,125.49,damaged,approved
R20260215-0000263,L20260215-0002293,O20260215-000894,2026-02-09T01:30:51,156.37,other,approved
R20260215-0000264,L20260215-0002306,O20260215-000900,2026-02-11T06:56:20,2.23,customer_remorse,rejected
R20260215-0000265,L20260215-0002312,O20260215-000902,2026-02-10T21:48:49,68.97,late_delivery,pending
R20260215-0000266,L20260215-0002313,O20260215-000902,2026-02-15T23:25:55,98.59,other,pending
R20260215-0000267,L20260215-0002316,O20260215-000903,2026-02-07T21:07:10,12.24,other,approved
R20260215-0000268,L20260215-0002339,O20260215-000913,2026-02-15T20:51:48,70.00,customer_remorse,rejected
