refund_id,order_line_id,order_id,refund_ts,refund_amount,refund_reason,refund_status
R20260217-0000343,L20260217-0003157,O20260217-001226,2026-02-11T19:03:14,57.03,customer_remorse,pending
R20260217-0000344,L20260217-0003158,O20260217-001226,2026-02-13T03:07:29,20.33,other,rejected
R20260217-0000345,L20260217-0003173,O20260217-001233,2026-02-08T16:14:01,1.77,other,rejected
R20260217-0000346,L20260217-0003194,O20260217-001242,2026-02-17T18:45:28,64.87,damaged,pending
R20260217-0000347,L20260217-0003207,O20260217-001248,2026-02-10T23:33:04,52.12,wrong_size,approved
R20260217-0000348,L20260217-0003232,O20260217-001261,2026-02-07T19:04:23,32.75,damaged,rejected
R20260217-0000349,L20260217-0003237,O20260217-001264,2026-02-10T19:03:19,50.80,customer_remorse,rejected
R20260217-0000350,L20260217-0003240,O20260217-001264,2026-02-09T02:21:06,36.89,other,approved
R20260217-0000351,L20260217-0003245,O20260217-001266,2026-02-07T02:39:43,61.71,late_delivery,pending
R20260217-0000352,L20260217-0003248,O20260217-001267,2026-02-11T21:03:40,64.11,customer_remorse,rejected
R20260217-0000353,L20260217-0003249,O20260217-001267,2026-02-13T09:55:05,137.47,customer_remorse,rejected
R20260217-0000354,L20260217-0003252,O20260217-001269,2026-02-10T21:09:53,222.99,other,pending
R20260217-0000355,L20260217-0003254,O20260217-001270,2026-02-10T01:35:01,164.40,wrong_size,rejected
R20260217-0000356,L20260217-0003268,O20260217-001274,2026-02-14T02:23:04,110.86,other,pending
R20260217-0000357,L20260217-0003269,O20260217-001275,2026-02-09T19:27:11,95.99,late_delivery,rejected
R20260217-0000358,L20260217-0003282,O20260217-001281,2026-02-16T00:08:55,105.07,customer_remorse,approved
R20260217-0000359,L20260217-0003336,O20260217-001299,2026-02-12T23:30:50,28.92,other,pending
R20260217-0000360,L20260217-0003343,O20260217-001303,2026-02-12T10:46:33,144.64,damaged,pending
R20260217-0000361,L20260217-0003347,O20260217-001304,2026-02-09T05:33:24,132.59,late_delivery,pending
R20260217-0000362,L20260217-0003354,O20260217-001306,2026-02-15T20:40:23,39.21,other,pending
R20260217-0000363,L20260217-0003365,O20260217-001311,2026-02-10T11:54:01,133.74,damaged,approved
R20260217-0000364,L20260217-0003370,O20260217-001313,2026-02-13T03:53:57,301.06,wrong_size,pending
R20260217-0000365,L20260217-0003383,O20260217-001318,2026-02-12T07:32:11,2.57,other,rejected
R20260217-0000366,L20260217-0003407,O20260217-001329,2026-02-07T06:50:17,132.35,customer_remorse,pending
R20260217-0000367,L20260217-0003425,O20260217-001335,2026-02-07T16:12:33,86.41,late_delivery,rejected
R20260217-0000368,L20260217-0003431,O20260217-001338,2026-02-10T16:23:44,324.19,customer_remorse,approved
R20260217-0000369,L20260217-0003452,O20260217-001345,2026-02-09T16:48:48,775.74,other,pending
R20260217-0000370,L20260217-0003455,O20260217-001346,2026-02-10T03:18:38,60.45,late_delivery,approved
R20260217-0000371,L20260217-0003457,O20260217-001347,2026-02-11T16:01:32,228.33,wrong_size,rejected
R20260217-0000372,L20260217-0003477,O20260217-001353,2026-02-17T09:14:32,430.27,wrong_size,rejected
R20260217-0000373,L20260217-0003490,O20260217-001358,2026-02-10T08:29:10,51.01,other,approved
R20260217-0000374,L20260217-0003499,O20260217-001303,2026-02-07T06:06:08,6.29,damaged,pending
R20260217-0000375,L20260217-0003509,O20260217-001233,2026-02-12T19:51:10,8.66,damaged,pending
R20260217-0000376,L20260217-0003305,O20260217-001288,2026-02-16T01:01:57,75.92,damaged,pending
R20260217-0000345,L20260217-0003173,O20260217-001233,2026-02-08T16:14:01,1.77,other,rejected
R-BAD-001,L-NOPE,O-NOPE,32/13/2026,-12.34,,unknown_state
R-BAD-RAW,this,is,not,valid,csv,for,normal,parsers
